method,metric,condition,n_objects,mean_direction_aligned_deterioration,ci95_low,ci95_high,bootstrap_resamples,seed
3DGS,PSNR,IN,7,5.521204267229352,4.206105640956333,6.814548492431641,20000,20260820
3DGS,PSNR,OUT,7,7.979470116751535,7.475831617627825,8.59630284990583,20000,20260820
3DGS,SSIM,IN,7,0.039166195052010674,0.01898412193570818,0.06056796163320539,20000,20260820
3DGS,SSIM,OUT,7,0.07564916781016759,0.05311557224818638,0.0989571043423244,20000,20260820
3DGS,LPIPS,IN,7,0.05560133286884853,0.03921132854052952,0.07228475383349828,20000,20260820
3DGS,LPIPS,OUT,7,0.10045803018978663,0.07569460996559688,0.12394508719444275,20000,20260820
Nerfacto,PSNR,IN,7,3.374749319893973,2.8297922951834544,3.984454836164202,20000,20260820
Nerfacto,PSNR,OUT,7,3.9542323521205356,3.144868850708008,4.6738433837890625,20000,20260820
Nerfacto,SSIM,IN,7,0.03319116149629865,0.014824259281158448,0.051775378840310235,20000,20260820
Nerfacto,SSIM,OUT,7,0.06728839874267578,0.04687629427228655,0.08927313770566668,20000,20260820
Nerfacto,LPIPS,IN,7,0.09220453671046666,0.06763415677206856,0.11218812210219246,20000,20260820
Nerfacto,LPIPS,OUT,7,0.15945046501500265,0.12412513153893608,0.1955855382340295,20000,20260820
