object,condition,model,kind,protocol,seed,method,PSNR,SSIM,LPIPS
bronze_cup,IN,gs7k_al,baseline,al,,ours_7000,27.60243797302246,0.9055742621421814,0.2713505029678345
bronze_cup,IN,gs7k_blocked_v1,baseline,blocked_v1,,ours_7000,21.00217056274414,0.8560234308242798,0.34018218517303467
bronze_cup,IN,gs7k_blocked_v2,baseline,blocked_v2,,ours_7000,24.675294876098633,0.8559373617172241,0.3494935929775238
bronze_cup,IN,gs7k_blocked_v3,baseline,blocked_v3,,ours_7000,22.680137634277344,0.873498797416687,0.33249345421791077
bronze_cup,IN,plain10k_blocked_v1_seed0,plain,blocked_v1,0,ours_10000,21.231632232666016,0.8566800951957703,0.33652791380882263
bronze_cup,IN,veil10k_blocked_v1_seed0,veil,blocked_v1,0,ours_10000,21.56195640563965,0.853314995765686,0.33430615067481995
bronze_cup,IN,veil10k_blocked_v1_seed0,veil,blocked_v1,0,composite_10000,21.83896827697754,0.8563211560249329,0.3331108093261719
bronze_cup,OUT,gs7k_al,baseline,al,,ours_7000,28.73241424560547,0.9368712306022644,0.15961119532585144
bronze_cup,OUT,gs7k_blocked_v1,baseline,blocked_v1,,ours_7000,20.434537887573242,0.8292779922485352,0.284648060798645
bronze_cup,OUT,gs7k_blocked_v2,baseline,blocked_v2,,ours_7000,20.516084671020508,0.8317334055900574,0.27160540223121643
bronze_cup,OUT,gs7k_blocked_v3,baseline,blocked_v3,,ours_7000,20.524662017822266,0.840849757194519,0.287814736366272
bronze_statue,IN,gs7k_al,baseline,al,,ours_7000,26.660558700561523,0.9001856446266174,0.2510303854942322
bronze_statue,IN,gs7k_blocked_v1,baseline,blocked_v1,,ours_7000,21.717580795288086,0.8850680589675903,0.2910241186618805
bronze_statue,IN,gs7k_blocked_v2,baseline,blocked_v2,,ours_7000,20.742856979370117,0.8466211557388306,0.34417033195495605
bronze_statue,IN,gs7k_blocked_v3,baseline,blocked_v3,,ours_7000,20.5577449798584,0.8811875581741333,0.27821940183639526
bronze_statue,IN,plain10k_blocked_v1_seed0,plain,blocked_v1,0,ours_10000,21.940006256103516,0.8842269778251648,0.2910761833190918
bronze_statue,IN,veil10k_blocked_v1_seed0,veil,blocked_v1,0,ours_10000,21.657176971435547,0.888348400592804,0.28742700815200806
bronze_statue,IN,veil10k_blocked_v1_seed0,veil,blocked_v1,0,composite_10000,22.129318237304688,0.8888923525810242,0.2869117856025696
bronze_statue,OUT,gs7k_al,baseline,al,,ours_7000,28.319293975830078,0.9516712427139282,0.1625986546278
bronze_statue,OUT,gs7k_blocked_v1,baseline,blocked_v1,,ours_7000,20.169780731201172,0.8872122764587402,0.2571834623813629
bronze_statue,OUT,gs7k_blocked_v2,baseline,blocked_v2,,ours_7000,21.694116592407227,0.9082735180854797,0.23451478779315948
bronze_statue,OUT,gs7k_blocked_v3,baseline,blocked_v3,,ours_7000,21.286163330078125,0.8834782838821411,0.2892358899116516
cloth_hat,IN,gs7k_al,baseline,al,,ours_7000,24.2548885345459,0.9054479598999023,0.266122430562973
cloth_hat,IN,gs7k_blocked_v1,baseline,blocked_v1,,ours_7000,19.150142669677734,0.8640362620353699,0.3223612904548645
cloth_hat,IN,gs7k_blocked_v2,baseline,blocked_v2,,ours_7000,21.16419219970703,0.8467399477958679,0.35072237253189087
cloth_hat,IN,gs7k_blocked_v3,baseline,blocked_v3,,ours_7000,18.266422271728516,0.848232626914978,0.32037824392318726
cloth_hat,IN,plain10k_blocked_v1_seed0,plain,blocked_v1,0,ours_10000,19.667098999023438,0.8655408024787903,0.3203376829624176
cloth_hat,IN,veil10k_blocked_v1_seed0,veil,blocked_v1,0,ours_10000,19.37262725830078,0.8633655309677124,0.3158913254737854
cloth_hat,IN,veil10k_blocked_v1_seed0,veil,blocked_v1,0,composite_10000,19.54776382446289,0.8657015562057495,0.3148919641971588
cloth_hat,OUT,gs7k_al,baseline,al,,ours_7000,27.609834671020508,0.9282003045082092,0.17665034532546997
cloth_hat,OUT,gs7k_blocked_v1,baseline,blocked_v1,,ours_7000,20.453548431396484,0.850910484790802,0.27578142285346985
cloth_hat,OUT,gs7k_blocked_v2,baseline,blocked_v2,,ours_7000,20.568363189697266,0.8510799407958984,0.27679961919784546
cloth_hat,OUT,gs7k_blocked_v3,baseline,blocked_v3,,ours_7000,21.97406005859375,0.8722962141036987,0.2603701651096344
cloth_shoe,IN,gs7k_al,baseline,al,,ours_7000,26.05101776123047,0.925511360168457,0.2539933919906616
cloth_shoe,IN,gs7k_blocked_v1,baseline,blocked_v1,,ours_7000,17.90666389465332,0.839464545249939,0.3262479901313782
cloth_shoe,IN,gs7k_blocked_v2,baseline,blocked_v2,,ours_7000,22.949787139892578,0.879960834980011,0.3143737316131592
cloth_shoe,IN,gs7k_blocked_v3,baseline,blocked_v3,,ours_7000,21.528339385986328,0.8634114265441895,0.33680739998817444
cloth_shoe,IN,plain10k_blocked_v1_seed0,plain,blocked_v1,0,ours_10000,18.330730438232422,0.8390039205551147,0.31932610273361206
cloth_shoe,IN,plain10k_blocked_v1_seed1,plain,blocked_v1,1,ours_10000,17.886943817138672,0.8338658213615417,0.3272588849067688
cloth_shoe,IN,plain10k_blocked_v1_seed2,plain,blocked_v1,2,ours_10000,18.49777603149414,0.8388891220092773,0.3169856667518616
cloth_shoe,IN,veil10k_blocked_v1_seed0,veil,blocked_v1,0,ours_10000,18.197967529296875,0.8360182046890259,0.3221690058708191
cloth_shoe,IN,veil10k_blocked_v1_seed0,veil,blocked_v1,0,composite_10000,17.938859939575195,0.8355201482772827,0.32267650961875916
cloth_shoe,IN,veil10k_blocked_v1_seed1,veil,blocked_v1,1,ours_10000,18.579059600830078,0.8430613279342651,0.30685025453567505
cloth_shoe,IN,veil10k_blocked_v1_seed1,veil,blocked_v1,1,composite_10000,18.311050415039062,0.8420987129211426,0.3074483275413513
cloth_shoe,IN,veil10k_blocked_v1_seed2,veil,blocked_v1,2,ours_10000,18.553865432739258,0.8428600430488586,0.31087201833724976
cloth_shoe,IN,veil10k_blocked_v1_seed2,veil,blocked_v1,2,composite_10000,18.328144073486328,0.8419612050056458,0.3112105131149292
cloth_shoe,OUT,gs7k_al,baseline,al,,ours_7000,29.042051315307617,0.9491073489189148,0.15855751931667328
cloth_shoe,OUT,gs7k_blocked_v1,baseline,blocked_v1,,ours_7000,21.658832550048828,0.8798513412475586,0.26161879301071167
cloth_shoe,OUT,gs7k_blocked_v2,baseline,blocked_v2,,ours_7000,21.863285064697266,0.8726215362548828,0.26015526056289673
cloth_shoe,OUT,gs7k_blocked_v3,baseline,blocked_v3,,ours_7000,22.31314468383789,0.9059139490127563,0.23928382992744446
porcelain_plate,IN,gs7k_al,baseline,al,,ours_7000,27.41663932800293,0.8935357928276062,0.29292091727256775
porcelain_plate,IN,gs7k_blocked_v1,baseline,blocked_v1,,ours_7000,22.272815704345703,0.8869256973266602,0.31641337275505066
porcelain_plate,IN,gs7k_blocked_v2,baseline,blocked_v2,,ours_7000,23.108478546142578,0.8724047541618347,0.3237727880477905
porcelain_plate,IN,gs7k_blocked_v3,baseline,blocked_v3,,ours_7000,19.116771697998047,0.8345881700515747,0.36180368065834045
porcelain_plate,IN,plain10k_blocked_v1_seed0,plain,blocked_v1,0,ours_10000,22.305660247802734,0.8913637399673462,0.3062477111816406
porcelain_plate,IN,veil10k_blocked_v1_seed0,veil,blocked_v1,0,ours_10000,22.52678871154785,0.890893280506134,0.3095267415046692
porcelain_plate,IN,veil10k_blocked_v1_seed0,veil,blocked_v1,0,composite_10000,22.631067276000977,0.8910287618637085,0.3093872666358948
porcelain_plate,OUT,gs7k_al,baseline,al,,ours_7000,30.5908203125,0.9518941044807434,0.16233059763908386
porcelain_plate,OUT,gs7k_blocked_v1,baseline,blocked_v1,,ours_7000,22.702991485595703,0.8928555250167847,0.2533276677131653
porcelain_plate,OUT,gs7k_blocked_v2,baseline,blocked_v2,,ours_7000,24.065372467041016,0.9084551930427551,0.2432122677564621
porcelain_plate,OUT,gs7k_blocked_v3,baseline,blocked_v3,,ours_7000,22.594669342041016,0.8893305659294128,0.25479060411453247
silver_comb,IN,gs7k_al,baseline,al,,ours_7000,25.49140739440918,0.8846037983894348,0.3200865089893341
silver_comb,IN,gs7k_blocked_v1,baseline,blocked_v1,,ours_7000,18.88088035583496,0.8167555928230286,0.41371145844459534
silver_comb,IN,gs7k_blocked_v2,baseline,blocked_v2,,ours_7000,19.81084632873535,0.8584521412849426,0.35846585035324097
silver_comb,IN,gs7k_blocked_v3,baseline,blocked_v3,,ours_7000,18.854114532470703,0.8312689065933228,0.3852859139442444
silver_comb,IN,plain10k_blocked_v1_seed0,plain,blocked_v1,0,ours_10000,18.85062026977539,0.8222793340682983,0.41138333082199097
silver_comb,IN,plain10k_blocked_v1_seed1,plain,blocked_v1,1,ours_10000,20.05764389038086,0.8254860043525696,0.3870956003665924
silver_comb,IN,plain10k_blocked_v1_seed2,plain,blocked_v1,2,ours_10000,19.12200355529785,0.8190075755119324,0.40213102102279663
silver_comb,IN,veil10k_blocked_v1_seed0,veil,blocked_v1,0,ours_10000,17.59668731689453,0.799460768699646,0.4071566164493561
silver_comb,IN,veil10k_blocked_v1_seed0,veil,blocked_v1,0,composite_10000,17.89361000061035,0.8047806620597839,0.4061053693294525
silver_comb,IN,veil10k_blocked_v1_seed1,veil,blocked_v1,1,ours_10000,17.007783889770508,0.7788301110267639,0.4123767912387848
silver_comb,IN,veil10k_blocked_v1_seed1,veil,blocked_v1,1,composite_10000,17.182117462158203,0.783984899520874,0.4118134379386902
silver_comb,IN,veil10k_blocked_v1_seed2,veil,blocked_v1,2,ours_10000,18.896339416503906,0.8178315162658691,0.3898633122444153
silver_comb,IN,veil10k_blocked_v1_seed2,veil,blocked_v1,2,composite_10000,19.13857078552246,0.8205059170722961,0.38915663957595825
silver_comb,OUT,gs7k_al,baseline,al,,ours_7000,31.079853057861328,0.9494726061820984,0.2087974101305008
silver_comb,OUT,gs7k_blocked_v1,baseline,blocked_v1,,ours_7000,23.720195770263672,0.9244038462638855,0.24752482771873474
silver_comb,OUT,gs7k_blocked_v2,baseline,blocked_v2,,ours_7000,24.317546844482422,0.9174191355705261,0.2658335268497467
silver_comb,OUT,gs7k_blocked_v3,baseline,blocked_v3,,ours_7000,23.71235466003418,0.9159221649169922,0.2774486839771271
stone_horse,IN,gs7k_al,baseline,al,,ours_7000,23.33700942993164,0.867451548576355,0.3027808964252472
stone_horse,IN,gs7k_blocked_v1,baseline,blocked_v1,,ours_7000,21.235275268554688,0.8598734140396118,0.3375539481639862
stone_horse,IN,gs7k_blocked_v2,baseline,blocked_v2,,ours_7000,20.356861114501953,0.8241046071052551,0.36576610803604126
stone_horse,IN,gs7k_blocked_v3,baseline,blocked_v3,,ours_7000,17.508630752563477,0.8341606855392456,0.35721293091773987
stone_horse,IN,plain10k_blocked_v1_seed0,plain,blocked_v1,0,ours_10000,19.5779972076416,0.8529047966003418,0.37314432859420776
stone_horse,IN,plain10k_blocked_v1_seed1,plain,blocked_v1,1,ours_10000,20.429033279418945,0.8532174229621887,0.3496392071247101
stone_horse,IN,plain10k_blocked_v1_seed2,plain,blocked_v1,2,ours_10000,21.428813934326172,0.8563824892044067,0.3374975323677063
stone_horse,IN,veil10k_blocked_v1_seed0,veil,blocked_v1,0,ours_10000,21.778697967529297,0.8597602844238281,0.3358457684516907
stone_horse,IN,veil10k_blocked_v1_seed0,veil,blocked_v1,0,composite_10000,21.935766220092773,0.8605386018753052,0.33536913990974426
stone_horse,IN,veil10k_blocked_v1_seed1,veil,blocked_v1,1,ours_10000,19.628808975219727,0.8526042699813843,0.3607958257198334
stone_horse,IN,veil10k_blocked_v1_seed1,veil,blocked_v1,1,composite_10000,19.692777633666992,0.8532589673995972,0.360408216714859
stone_horse,IN,veil10k_blocked_v1_seed2,veil,blocked_v1,2,ours_10000,21.628734588623047,0.8631203770637512,0.327269971370697
stone_horse,IN,veil10k_blocked_v1_seed2,veil,blocked_v1,2,composite_10000,21.8046875,0.8635231852531433,0.3270718455314636
stone_horse,OUT,gs7k_al,baseline,al,,ours_7000,26.14162826538086,0.9338420033454895,0.17671935260295868
stone_horse,OUT,gs7k_blocked_v1,baseline,blocked_v1,,ours_7000,16.519718170166016,0.8070032000541687,0.328387051820755
stone_horse,OUT,gs7k_blocked_v2,baseline,blocked_v2,,ours_7000,18.04944610595703,0.8305824995040894,0.30196237564086914
stone_horse,OUT,gs7k_blocked_v3,baseline,blocked_v3,,ours_7000,17.527280807495117,0.8097602128982544,0.34479284286499023
