object,condition,PSNR,SSIM,LPIPS,PSNR_seed_range,SSIM_seed_range,LPIPS_seed_range
bronze_cup,IN,26.69569714864095,0.8985219597816467,0.27410101890563965,0.6407318115234375,0.003034830093383789,0.006283789873123169
bronze_cup,OUT,28.418500264485676,0.9361972411473592,0.15946605304876962,0.36900901794433594,0.0025302767753601074,0.00312979519367218
bronze_statue,IN,26.06433614095052,0.8980825940767924,0.24933748443921408,0.32672691345214844,0.0019866228103637695,0.0025842487812042236
bronze_statue,OUT,28.801259994506836,0.9541365305582682,0.16360993683338165,1.286773681640625,0.004477083683013916,0.005504876375198364
cloth_hat,IN,24.26040522257487,0.9038912653923035,0.268070528904597,1.269479751586914,0.010584354400634766,0.012374341487884521
cloth_hat,OUT,27.51185671488444,0.9307257135709127,0.17410951356093088,0.6175632476806641,0.004599630832672119,0.004727721214294434
cloth_shoe,IN,26.293250401814777,0.9250203371047974,0.25141580402851105,0.7864131927490234,0.005457878112792969,0.008014991879463196
cloth_shoe,OUT,29.01860809326172,0.9504396915435791,0.15676603217919668,0.4911231994628906,0.001564621925354004,0.005613833665847778
porcelain_plate,IN,27.5774351755778,0.8932650089263916,0.28720523913701373,0.8414688110351562,0.0029602646827697754,0.002410978078842163
porcelain_plate,OUT,30.425373713175457,0.9530593355496725,0.16056392590204874,0.3814849853515625,0.0006948709487915039,0.0009518712759017944
silver_comb,IN,25.45446268717448,0.8842557271321615,0.3176923394203186,0.5480823516845703,0.0038306713104248047,0.003510594367980957
silver_comb,OUT,30.744773228963215,0.9491779605547587,0.2082758148511251,0.7949676513671875,0.0009346604347229004,0.002728193998336792
stone_horse,IN,23.28679911295573,0.8631280461947123,0.3086186945438385,1.1152458190917969,0.010794401168823242,0.01265627145767212
stone_horse,OUT,25.609982172648113,0.9287677804629008,0.183746928970019,0.4705810546875,0.003171563148498535,0.007510155439376831
