object,condition,seed,PSNR,SSIM,LPIPS
bronze_cup,IN,2024,27.09800148010254,0.9003145694732666,0.27005255222320557
bronze_cup,IN,2025,26.4572696685791,0.8972797393798828,0.27633634209632874
bronze_cup,IN,2026,26.53182029724121,0.8979715704917908,0.27591416239738464
bronze_cup,OUT,2024,28.64975929260254,0.9372132420539856,0.15833643078804016
bronze_cup,OUT,2025,28.32499122619629,0.9346829652786255,0.16146622598171234
bronze_cup,OUT,2026,28.280750274658203,0.9366955161094666,0.1585955023765564
bronze_statue,IN,2024,26.189842224121094,0.8984649777412415,0.24948453903198242
bronze_statue,IN,2025,26.140050888061523,0.8988847136497498,0.24797183275222778
bronze_statue,IN,2026,25.863115310668945,0.896898090839386,0.250556081533432
bronze_statue,OUT,2024,29.056238174438477,0.9543805718421936,0.16613823175430298
bronze_statue,OUT,2025,28.030384063720703,0.9517759680747986,0.16405822336673737
bronze_statue,OUT,2026,29.317157745361328,0.9562530517578125,0.16063335537910461
cloth_hat,IN,2024,24.430944442749023,0.9065727591514587,0.26514962315559387
cloth_hat,IN,2025,23.540395736694336,0.8972583413124084,0.27571815252304077
cloth_hat,IN,2026,24.80987548828125,0.9078426957130432,0.26334381103515625
cloth_hat,OUT,2024,27.17584991455078,0.9284707903862,0.17629869282245636
cloth_hat,OUT,2025,27.566307067871094,0.930635929107666,0.17445887625217438
cloth_hat,OUT,2026,27.793413162231445,0.9330704212188721,0.17157097160816193
cloth_shoe,IN,2024,26.448440551757812,0.924710750579834,0.25118255615234375
cloth_shoe,IN,2025,26.608861923217773,0.9279040694236755,0.2475249320268631
cloth_shoe,IN,2026,25.82244873046875,0.9224461913108826,0.2555399239063263
cloth_shoe,OUT,2024,28.881317138671875,0.9504618644714355,0.15786002576351166
cloth_shoe,OUT,2025,29.332815170288086,0.9512109160423279,0.1534121185541153
cloth_shoe,OUT,2026,28.841691970825195,0.9496462941169739,0.15902595221996307
porcelain_plate,IN,2024,27.965539932250977,0.8945513367652893,0.28693971037864685
porcelain_plate,IN,2025,27.12407112121582,0.8915910720825195,0.2885434925556183
porcelain_plate,IN,2026,27.6426944732666,0.893652617931366,0.2861325144767761
porcelain_plate,OUT,2024,30.6646671295166,0.9534016251564026,0.1601191610097885
porcelain_plate,OUT,2025,30.328271865844727,0.9530696272850037,0.1610710322856903
porcelain_plate,OUT,2026,30.28318214416504,0.9527067542076111,0.16050158441066742
silver_comb,IN,2024,25.193037033081055,0.8820687532424927,0.3192031979560852
silver_comb,IN,2025,25.741119384765625,0.8858994245529175,0.31569260358810425
silver_comb,IN,2026,25.429231643676758,0.8847990036010742,0.31818121671676636
silver_comb,OUT,2024,30.29982566833496,0.9486714601516724,0.21003040671348572
silver_comb,OUT,2025,30.83970069885254,0.9492563009262085,0.2074948251247406
silver_comb,OUT,2026,31.09479331970215,0.9496061205863953,0.20730221271514893
stone_horse,IN,2024,22.675418853759766,0.8581045866012573,0.3148086965084076
stone_horse,IN,2025,23.790664672851562,0.8688989877700806,0.3021524250507355
stone_horse,IN,2026,23.39431381225586,0.8623805642127991,0.30889496207237244
stone_horse,OUT,2024,25.406131744384766,0.9272677302360535,0.18816642463207245
stone_horse,OUT,2025,25.547101974487305,0.930439293384552,0.18065626919269562
stone_horse,OUT,2026,25.876712799072266,0.9285963177680969,0.182418093085289
