metric,quantity,mean,ci_low,ci_high
PSNR,interleaved,2.9574195316859653,2.0546300070626393,3.965402603149414
PSNR,interleaved_count_matched,2.985424041748047,2.3289221082414904,3.8437870570591515
PSNR,blocked_v1,0.4991536821637835,-1.7409567151750838,2.636556625366211
PSNR,training_count_component_al_minus_count_matched,-0.02800451006208147,-0.45144099280947764,0.32609458196730856
PSNR,adjacency_component_count_matched_minus_blocked,2.4862703595842635,0.789122445242746,4.365734009515672
PSNR,total_al_minus_blocked,2.458265849522182,0.8547423226492745,4.422352654593332
SSIM,interleaved,0.045535496303013394,0.03242354733603341,0.05813947745731899
SSIM,interleaved_count_matched,0.048048473539806555,0.035784761110941594,0.05968612148648213
SSIM,blocked_v1,0.009052523544856481,-0.02328857353755406,0.047254630497523716
SSIM,training_count_component_al_minus_count_matched,-0.00251297723679316,-0.00429062375000547,-0.0007942205383664033
SSIM,adjacency_component_count_matched_minus_blocked,0.038995949994950076,0.0026282895179021875,0.07475908029647102
SSIM,total_al_minus_blocked,0.036482972758156915,0.00027958835874285014,0.07154335294451032
LPIPS,interleaved,-0.10757427981921605,-0.11928787779595171,-0.09611162117549352
LPIPS,interleaved_count_matched,-0.10712898629052299,-0.11778397503353301,-0.09612057617022898
LPIPS,blocked_v1,-0.06271758249827794,-0.10115685633250646,-0.0343832756791796
LPIPS,training_count_component_al_minus_count_matched,-0.00044529352869305893,-0.002353148091407048,0.001730045392399757
LPIPS,adjacency_component_count_matched_minus_blocked,-0.04441140379224505,-0.07714425807907468,-0.005065182135218659
LPIPS,total_al_minus_blocked,-0.04485669732093811,-0.07806836068630219,-0.007836574103151429
