"object","condition","protocol","psnr","ssim","lpips"
"bronze_cup","IN","al","23.338842391967773","0.8615240454673767","0.3274913728237152"
"bronze_cup","IN","blocked_v1","18.707216262817383","0.8017386794090271","0.4475345313549042"
"bronze_cup","OUT","al","24.41521453857422","0.9151013493537903","0.18577079474925995"
"bronze_cup","OUT","blocked_v1","20.348392486572266","0.8034330606460571","0.3907403349876404"
"bronze_statue","IN","al","22.98026466369629","0.8724426031112671","0.27569493651390076"
"bronze_statue","IN","blocked_v1","20.070796966552734","0.8579596877098083","0.36618494987487793"
"bronze_statue","OUT","al","22.845746994018555","0.9295777678489685","0.16189858317375183"
"bronze_statue","OUT","blocked_v1","20.913776397705078","0.8802174925804138","0.31152278184890747"
"cloth_hat","IN","al","22.661197662353516","0.8767163753509521","0.3040866255760193"
"cloth_hat","IN","blocked_v1","19.873394012451172","0.8370875120162964","0.4055895507335663"
"cloth_hat","OUT","al","24.992660522460938","0.9057245254516602","0.18957914412021637"
"cloth_hat","OUT","blocked_v1","21.458372116088867","0.8470327854156494","0.3104858696460724"
"cloth_shoe","IN","al","22.347728729248047","0.8910634517669678","0.2744825482368469"
"cloth_shoe","IN","blocked_v1","17.786457061767578","0.8216532468795776","0.3956746459007263"
"cloth_shoe","OUT","al","27.68060302734375","0.9312143921852112","0.14693112671375275"
"cloth_shoe","OUT","blocked_v1","22.07056427001953","0.8612766861915588","0.32895082235336304"
"porcelain_plate","IN","al","24.1425838470459","0.8544652462005615","0.33746838569641113"
"porcelain_plate","IN","blocked_v1","21.552188873291016","0.8541492223739624","0.3668399751186371"
"porcelain_plate","OUT","al","26.96979522705078","0.9259037375450134","0.18818145990371704"
"porcelain_plate","OUT","blocked_v1","23.05034828186035","0.8734214901924133","0.3285060226917267"
"silver_comb","IN","al","21.75182342529297","0.8276264071464539","0.412027508020401"
"silver_comb","IN","blocked_v1","18.4538631439209","0.7828496098518372","0.5240298509597778"
"silver_comb","OUT","al","28.01352310180664","0.9300162196159363","0.19975893199443817"
"silver_comb","OUT","blocked_v1","23.659170150756836","0.9058653116226196","0.28096067905426025"
"stone_horse","IN","al","20.772480010986328","0.8143535256385803","0.37258750200271606"
"stone_horse","IN","blocked_v1","17.927759170532227","0.8104155659675598","0.44341713190078735"
"stone_horse","OUT","al","23.666505813598633","0.9185248017311096","0.19753284752368927"
"stone_horse","OUT","blocked_v1","19.403799057006836","0.8137971758842468","0.4346396327018738"
