"object","condition","protocol","psnr","ssim","lpips"
"bronze_cup","IN","blocked_v2","19.84636116027832","0.7908063530921936","0.4656258225440979"
"bronze_cup","IN","blocked_v3","19.58500099182129","0.8263072371482849","0.42825546860694885"
"bronze_cup","OUT","blocked_v2","20.195261001586914","0.8158063888549805","0.3681408166885376"
"bronze_cup","OUT","blocked_v3","20.662378311157227","0.8312783241271973","0.36544492840766907"
"bronze_statue","IN","blocked_v2","18.561147689819336","0.8021374344825745","0.4435993432998657"
"bronze_statue","IN","blocked_v3","20.62044334411621","0.8549250364303589","0.3671579658985138"
"bronze_statue","OUT","blocked_v2","21.11548614501953","0.8985951542854309","0.26074641942977905"
"bronze_statue","OUT","blocked_v3","19.670988082885742","0.8775550127029419","0.31090471148490906"
"silver_comb","IN","blocked_v2","19.64202880859375","0.8191379308700562","0.4625503420829773"
"silver_comb","IN","blocked_v3","17.15904426574707","0.771461009979248","0.4882723391056061"
"silver_comb","OUT","blocked_v2","24.947608947753906","0.9011241793632507","0.27003535628318787"
"silver_comb","OUT","blocked_v3","22.71784782409668","0.8923001885414124","0.320383220911026"
"stone_horse","IN","blocked_v2","19.527498245239258","0.7842023372650146","0.46339941024780273"
"stone_horse","IN","blocked_v3","18.567203521728516","0.7898931503295898","0.4588033854961395"
"stone_horse","OUT","blocked_v2","19.965288162231445","0.8197449445724487","0.42171525955200195"
"stone_horse","OUT","blocked_v3","18.297637939453125","0.78310227394104","0.4864366054534912"
