object,protocol,metric,out_minus_in
bronze_cup,blocked_v2,PSNR,0.34889984130859375
bronze_statue,blocked_v2,PSNR,2.5543384552001953
silver_comb,blocked_v2,PSNR,5.305580139160156
stone_horse,blocked_v2,PSNR,0.4377899169921875
bronze_cup,blocked_v2,SSIM,0.025000035762786865
bronze_statue,blocked_v2,SSIM,0.09645771980285645
silver_comb,blocked_v2,SSIM,0.08198624849319458
stone_horse,blocked_v2,SSIM,0.03554260730743408
bronze_cup,blocked_v2,LPIPS,-0.0974850058555603
bronze_statue,blocked_v2,LPIPS,-0.18285292387008667
silver_comb,blocked_v2,LPIPS,-0.19251498579978943
stone_horse,blocked_v2,LPIPS,-0.04168415069580078
bronze_cup,blocked_v3,PSNR,1.0773773193359375
bronze_statue,blocked_v3,PSNR,-0.9494552612304688
silver_comb,blocked_v3,PSNR,5.558803558349609
stone_horse,blocked_v3,PSNR,-0.2695655822753906
bronze_cup,blocked_v3,SSIM,0.0049710869789123535
bronze_statue,blocked_v3,SSIM,0.022629976272583008
silver_comb,blocked_v3,SSIM,0.1208391785621643
stone_horse,blocked_v3,SSIM,-0.006790876388549805
bronze_cup,blocked_v3,LPIPS,-0.06281054019927979
bronze_statue,blocked_v3,LPIPS,-0.056253254413604736
silver_comb,blocked_v3,LPIPS,-0.16788911819458008
stone_horse,blocked_v3,LPIPS,0.027633219957351685
