object,condition,protocol,n_registered,anchors,test_indices_zero_based,buffer_indices_zero_based,n_train,n_test,n_buffer,test_names,buffer_names
bronze_cup,IN,blocked_v1,68,0.2;0.5;0.8,12;13;14;15;32;33;34;35;53;54,10;11;16;17;30;31;36;37;51;52;55;56,46,10,12,frame_0013.jpg;frame_0014.jpg;frame_0015.jpg;frame_0016.jpg;frame_0034.jpg;frame_0035.jpg;frame_0065.jpg;frame_0066.jpg;frame_0085.jpg;frame_0086.jpg,frame_0011.jpg;frame_0012.jpg;frame_0017.jpg;frame_0018.jpg;frame_0032.jpg;frame_0033.jpg;frame_0067.jpg;frame_0068.jpg;frame_0083.jpg;frame_0084.jpg;frame_0087.jpg;frame_0088.jpg
bronze_cup,IN,blocked_v2,68,0.12;0.42;0.72,6;7;8;9;27;28;29;30;48;49,4;5;10;11;25;26;31;32;46;47;50;51,46,10,12,frame_0007.jpg;frame_0008.jpg;frame_0009.jpg;frame_0010.jpg;frame_0029.jpg;frame_0030.jpg;frame_0031.jpg;frame_0032.jpg;frame_0080.jpg;frame_0081.jpg,frame_0005.jpg;frame_0006.jpg;frame_0011.jpg;frame_0012.jpg;frame_0027.jpg;frame_0028.jpg;frame_0033.jpg;frame_0034.jpg;frame_0077.jpg;frame_0079.jpg;frame_0082.jpg;frame_0083.jpg
bronze_cup,IN,blocked_v3,68,0.28;0.58;0.88,17;18;19;20;37;38;39;40;59;60,15;16;21;22;35;36;41;42;57;58;61;62,46,10,12,frame_0018.jpg;frame_0019.jpg;frame_0020.jpg;frame_0022.jpg;frame_0068.jpg;frame_0069.jpg;frame_0070.jpg;frame_0071.jpg;frame_0091.jpg;frame_0092.jpg,frame_0016.jpg;frame_0017.jpg;frame_0023.jpg;frame_0024.jpg;frame_0066.jpg;frame_0067.jpg;frame_0072.jpg;frame_0073.jpg;frame_0089.jpg;frame_0090.jpg;frame_0093.jpg;frame_0094.jpg
bronze_cup,OUT,blocked_v1,68,0.2;0.5;0.8,12;13;14;15;32;33;34;35;53;54,10;11;16;17;30;31;36;37;51;52;55;56,46,10,12,frame_0019.jpg;frame_0021.jpg;frame_0022.jpg;frame_0024.jpg;frame_0049.jpg;frame_0051.jpg;frame_0053.jpg;frame_0054.jpg;frame_0081.jpg;frame_0083.jpg,frame_0016.jpg;frame_0018.jpg;frame_0025.jpg;frame_0027.jpg;frame_0046.jpg;frame_0048.jpg;frame_0056.jpg;frame_0057.jpg;frame_0078.jpg;frame_0080.jpg;frame_0084.jpg;frame_0086.jpg
bronze_cup,OUT,blocked_v2,68,0.12;0.42;0.72,6;7;8;9;27;28;29;30;48;49,4;5;10;11;25;26;31;32;46;47;50;51,46,10,12,frame_0010.jpg;frame_0012.jpg;frame_0013.jpg;frame_0015.jpg;frame_0042.jpg;frame_0043.jpg;frame_0045.jpg;frame_0046.jpg;frame_0074.jpg;frame_0075.jpg,frame_0007.jpg;frame_0009.jpg;frame_0016.jpg;frame_0018.jpg;frame_0039.jpg;frame_0040.jpg;frame_0048.jpg;frame_0049.jpg;frame_0071.jpg;frame_0072.jpg;frame_0077.jpg;frame_0078.jpg
bronze_cup,OUT,blocked_v3,68,0.28;0.58;0.88,17;18;19;20;37;38;39;40;59;60,15;16;21;22;35;36;41;42;57;58;61;62,46,10,12,frame_0027.jpg;frame_0028.jpg;frame_0030.jpg;frame_0031.jpg;frame_0057.jpg;frame_0059.jpg;frame_0060.jpg;frame_0062.jpg;frame_0090.jpg;frame_0092.jpg,frame_0024.jpg;frame_0025.jpg;frame_0033.jpg;frame_0034.jpg;frame_0054.jpg;frame_0056.jpg;frame_0063.jpg;frame_0065.jpg;frame_0087.jpg;frame_0089.jpg;frame_0093.jpg;frame_0095.jpg
bronze_statue,IN,blocked_v1,84,0.2;0.5;0.8,15;16;17;18;40;41;42;43;66;67,13;14;19;20;38;39;44;45;64;65;68;69,62,10,12,frame_0016.jpg;frame_0017.jpg;frame_0018.jpg;frame_0019.jpg;frame_0042.jpg;frame_0043.jpg;frame_0044.jpg;frame_0045.jpg;frame_0081.jpg;frame_0082.jpg,frame_0014.jpg;frame_0015.jpg;frame_0020.jpg;frame_0021.jpg;frame_0040.jpg;frame_0041.jpg;frame_0046.jpg;frame_0047.jpg;frame_0079.jpg;frame_0080.jpg;frame_0083.jpg;frame_0084.jpg
bronze_statue,IN,blocked_v2,84,0.12;0.42;0.72,8;9;10;11;33;34;35;36;59;60,6;7;12;13;31;32;37;38;57;58;61;62,62,10,12,frame_0009.jpg;frame_0010.jpg;frame_0011.jpg;frame_0012.jpg;frame_0034.jpg;frame_0035.jpg;frame_0036.jpg;frame_0037.jpg;frame_0074.jpg;frame_0075.jpg,frame_0007.jpg;frame_0008.jpg;frame_0013.jpg;frame_0014.jpg;frame_0032.jpg;frame_0033.jpg;frame_0038.jpg;frame_0040.jpg;frame_0059.jpg;frame_0073.jpg;frame_0076.jpg;frame_0077.jpg
bronze_statue,IN,blocked_v3,84,0.28;0.58;0.88,22;23;24;25;47;48;49;50;73;74,20;21;26;27;45;46;51;52;71;72;75;76,62,10,12,frame_0023.jpg;frame_0024.jpg;frame_0025.jpg;frame_0026.jpg;frame_0049.jpg;frame_0050.jpg;frame_0051.jpg;frame_0052.jpg;frame_0088.jpg;frame_0089.jpg,frame_0021.jpg;frame_0022.jpg;frame_0027.jpg;frame_0028.jpg;frame_0047.jpg;frame_0048.jpg;frame_0053.jpg;frame_0054.jpg;frame_0086.jpg;frame_0087.jpg;frame_0090.jpg;frame_0091.jpg
bronze_statue,OUT,blocked_v1,84,0.2;0.5;0.8,15;16;17;18;40;41;42;43;66;67,13;14;19;20;38;39;44;45;64;65;68;69,62,10,12,frame_0020.jpg;frame_0021.jpg;frame_0022.jpg;frame_0023.jpg;frame_0051.jpg;frame_0052.jpg;frame_0053.jpg;frame_0055.jpg;frame_0083.jpg;frame_0085.jpg,frame_0017.jpg;frame_0019.jpg;frame_0025.jpg;frame_0026.jpg;frame_0049.jpg;frame_0050.jpg;frame_0056.jpg;frame_0057.jpg;frame_0081.jpg;frame_0082.jpg;frame_0086.jpg;frame_0087.jpg
bronze_statue,OUT,blocked_v2,84,0.12;0.42;0.72,8;9;10;11;33;34;35;36;59;60,6;7;12;13;31;32;37;38;57;58;61;62,62,10,12,frame_0011.jpg;frame_0012.jpg;frame_0013.jpg;frame_0015.jpg;frame_0042.jpg;frame_0043.jpg;frame_0045.jpg;frame_0046.jpg;frame_0075.jpg;frame_0076.jpg,frame_0009.jpg;frame_0010.jpg;frame_0016.jpg;frame_0017.jpg;frame_0040.jpg;frame_0041.jpg;frame_0047.jpg;frame_0049.jpg;frame_0072.jpg;frame_0073.jpg;frame_0077.jpg;frame_0079.jpg
bronze_statue,OUT,blocked_v3,84,0.28;0.58;0.88,22;23;24;25;47;48;49;50;73;74,20;21;26;27;45;46;51;52;71;72;75;76,62,10,12,frame_0029.jpg;frame_0030.jpg;frame_0031.jpg;frame_0032.jpg;frame_0060.jpg;frame_0061.jpg;frame_0062.jpg;frame_0063.jpg;frame_0092.jpg;frame_0093.jpg,frame_0026.jpg;frame_0027.jpg;frame_0033.jpg;frame_0035.jpg;frame_0057.jpg;frame_0059.jpg;frame_0065.jpg;frame_0066.jpg;frame_0090.jpg;frame_0091.jpg;frame_0095.jpg;frame_0096.jpg
